youtube_id,bpm,key,camelot,energy
nzl0hOm-8WQ,117,A minor,8A,0.099843
09L0l9ygLZM,125,A# major,6B,0.184963
qizk3MTuc2U,104,E minor,9A,0.137877
AexFISvKnyM,176,C major,8B,0.102901
VNzzgNX1k4Q,125,D# minor,2A,0.08234
HBttSU1yDP8,161,C minor,5A,0.178864
Tqu-2sZSNEc,122,C minor,5A,0.116048
A7vuDU7vrY0,117,E minor,9A,0.14921
BzLLIjr7d1U,110,D minor,7A,0.11999
LiJCtgPQKIw,122,F minor,4A,0.094601
9GKCSp0fKfI,117,C major,8B,0.087409
LRizGkpySZY,115,C minor,5A,0.100504
rsml6sbIM2A,115,C minor,5A,0.27288
-NpBSAkR8yQ,122,E minor,9A,0.17953
MS4fnBfTkf0,117,G major,9B,0.101708
REWFidBQ_z0,122,F# minor,11A,0.269364
Nlz03yVSWyc,117,A minor,8A,0.107243
D6GWUy4t_Zc,110,C major,8B,0.0428
NPsk1BsUCgw,117,D# minor,2A,0.113564
tjNkGdqAuS0,112,C# minor,12A,0.096265
F2QRny393HY,102,A# minor,3A,0.129094
pejq840tXGc,108,F# minor,11A,0.222828
uit8WhT0XVM,120,D# minor,2A,0.077553
AWTooBL_EGU,112,D# minor,2A,0.045244
mNFzhWAL5r0,122,G# major,4B,0.115064
Oka7etG00uY,120,G# minor,1A,0.151195
kK1cTCK_qMI,104,C# major,3B,0.210402
NdzZGteAFjw,117,G# major,4B,0.141725
UMmsCmre_S8,123,F major,7B,0.127965
_BpWjG_10gY,115,C minor,5A,0.139938
6gGr8O40OXs,102,G# minor,1A,0.161014
ZIQ090mouLk,122,D# minor,2A,0.246328
qO_oiNO8rCs,122,C major,8B,0.111752
b4HxLA2zigA,117,D# minor,2A,0.127029
9WTr3iKzNCY,120,D# minor,2A,0.228209
tQR1cPN2ph0,133,C minor,5A,0.034278
SNZQoWquwPQ,122,A major,11B,0.269647
_XEIw2wTXKQ,125,C minor,5A,0.169238
gLd-KE0MKKw,117,D# minor,2A,0.134674
UNesbHxl0qQ,122,D minor,7A,0.205435
0gmhgWA76GY,125,A major,11B,0.125744
XfHNvfivOeg,120,F minor,4A,0.137903
W5AxmLF55ko,128,C major,8B,0.134203
uH0ZJNHFy6I,125,A major,11B,0.156572
PCZ_59pty74,117,C# minor,12A,0.16553
NV3lSgi6Gdg,102,F# major,2B,0.133429
qstk50OyuH4,128,B major,1B,0.172532
wM-TEU5Te8E,134,G major,9B,0.160249
V8Ay25BIHw4,125,C minor,5A,0.206045
BEm6DbCO2do,128,F# minor,11A,0.142996
CxFwbRfuUvk,131,D# major,5B,0.158072
pKEUuF_PdNM,106,E minor,9A,0.204028
QfMe-EWEGfQ,144,A major,11B,0.294684
agPQBtHqzgA,128,A# minor,3A,0.153586
hpko_0esAcA,128,F major,7B,0.172752
-L-wglI4yfk,104,C# major,3B,0.104507
avbISsqBLt8,134,D minor,7A,0.2375
gHMoKz-q_mU,170,E minor,9A,0.19469
QrAJBSZDjxA,120,E minor,9A,0.130537
8c6mgsfayKY,100,G# major,4B,0.093242
Nsct-e-HVE0,100,D# minor,2A,0.175058
idmcswvIsQw,88,C# major,3B,0.112051
hR6MFEEmlyA,128,A# major,6B,0.172624
5Uyf-NVC7Yo,170,A# major,6B,0.211364
sHNo2l_NxRk,134,C minor,5A,0.188996
XeGjcDJ8nGE,133,F# minor,11A,0.162235
CrB-1OveA1I,141,D minor,7A,0.137729
rclzB0SCzGw,131,E minor,9A,0.213956
Kfq-cLE59U4,104,C major,8B,0.172034
DqUj_NyNPTE,137,C# minor,12A,0.154035
ylmoTGBoGho,156,C# minor,12A,0.150073
UvawdftUaWI,100,G# major,4B,0.182898
XzDZBHpT9Qg,100,D major,10B,0.195861
i8ORCyuQy-M,100,C# minor,12A,0.195761
8BuC1F_IkVI,104,F# minor,11A,0.229023
LumVKcFO9Ns,110,D minor,7A,0.08244
2GoVibasqgM,106,E major,12B,0.308726
Cod6MTToQ_I,100,D minor,7A,0.321782
5ZTzP4Baq-0,110,B minor,10A,0.201877
-vbnxrccBQQ,110,C# major,3B,0.257257
MbkqJKVV2tI,106,F# minor,11A,0.284506
ux1yl2oZRXM,108,F minor,4A,0.2192
ZqtwWF24LW8,106,A major,11B,0.132163
QDwWWzlFENE,106,C# major,3B,0.081854
0bHzyyc8U9A,110,F# major,2B,0.17595
4oj0Wo7zbtM,125,D# minor,2A,0.102636
3FqpyS2MefE,123,A minor,8A,0.115092
NTrtUBVjPpY,117,A minor,8A,0.119545
-nVVuR0ldSc,122,E minor,9A,0.214065
7sjW_FfHgWs,122,D major,10B,0.17411
06iLRpkgAt0,125,D# minor,2A,0.234839
-DYeGzBKPYo,131,G# major,4B,0.178655
EX1-K6qv2MY,84,C minor,5A,0.151503
4gUXQjq8mGg,128,D# minor,2A,0.114797
7ZrxPzSrOHY,136,G minor,6A,0.075906
ZSbgvDYLNVw,128,A minor,8A,0.124565
qnqtR3rrrF4,120,F# minor,11A,0.101867
A6WIbvwcVUg,112,C major,8B,0.225496
NUc2mLrqqdA,131,E minor,9A,0.165795
Q-_UlgGJ3DQ,134,G minor,6A,0.064671
Et-u40phiOY,126,C major,8B,0.145782
Gxvdj9m5Qsg,120,A major,11B,0.119274
4we-WfZTauc,125,A# minor,3A,0.136314
iLbWfWgXgl8,125,G# minor,1A,0.110384
cv3YQQwWRPw,117,A# minor,3A,0.133777
N-fTIZ3KlJM,131,A major,11B,0.107531
ZTpfqF-aVbM,123,F# minor,11A,0.072239
HYuGkN6v6nQ,122,A# minor,3A,0.144469
HJKdGA3jORg,115,G# minor,1A,0.091531
OstMSyKUYLo,106,B major,1B,0.136464
Ce6JZDzEobQ,106,C major,8B,0.190824
WQlxViAJCJE,152,D minor,7A,0.101849
5aJ88ZGsNnc,100,C minor,5A,0.13515
CzYz5KMWnWs,117,F# minor,11A,0.216472
0vu12zSixUo,112,G major,9B,0.184981
PAyO4LsoGyI,122,C minor,5A,0.131319
ncirwCkflIc,102,D# minor,2A,0.153375
nSGypIDJYn8,104,C# major,3B,0.070256
n_YC3dWBM58,110,F# major,2B,0.160294
bEvsA6sxp9g,106,D# major,5B,0.069671
qGM21pyHinQ,106,D minor,7A,0.196802
IhOjaLiVlis,161,F# major,2B,0.24444
MD_ylJH7nNk,120,E major,12B,0.059996
A6_bmD7nzAM,125,B minor,10A,0.147172
C_hXb6RdjK0,104,C# minor,12A,0.122465
-L-wglI4yfk,104,C# major,3B,0.104507
MiZ6kPA4Iyk,133,G minor,6A,0.149795
frpbqT2WFjU,117,A major,11B,0.027921
s0zzDNpTxJs,134,D major,10B,0.197226
8jnm5JucvL8,125,B minor,10A,0.158337
8Eq0i187kvE,131,D# minor,2A,0.179798
ND7wzRf5BqA,128,B minor,10A,0.054042
HAtZlGW_q1o,141,C major,8B,0.173312
i6MUUL7-kw0,131,A# minor,3A,0.276467
BTFs0vNsfks,108,C minor,5A,0.266072
slvNU6gnw7U,137,E minor,9A,0.077872
