from_track_id,to_track_id,frequency
idbhvFpq5Fs,IKyIICPHelQ,3
7gthZ9-hFPU,ZM0YrrRqaPc,3
Ior0a1Bs6ew,xJlntGFGE80,3
pFRzNbsQNBw,SCUT4cymjhQ,3
bX3KwWTYpis,MnqmWnSy0WY,3
VlShqFT353k,_LS8asO_TUE,3
csCyqwQTpWI,ZEi_4MJBLMQ,3
ZEi_4MJBLMQ,_3xE20mmeFY,3
_3xE20mmeFY,RVSZPXgxTk0,3
RCd4wsd9zgY,c5Lnc7YlPZ0,3
c5Lnc7YlPZ0,B7HQ9kZZrLM,3
B7HQ9kZZrLM,66p0Pfv_5Xk,3
66p0Pfv_5Xk,YlEcriBkH7c,3
YlEcriBkH7c,L0BpD7HkQtA,3
L0BpD7HkQtA,g818_Ub-b3I,3
eFRn0nnHcU0,JfwWdt6zv20,3
JfwWdt6zv20,G0IuXRTGjvw,3
NZgruPVtKDA,PXoqNjgx05U,3
7TNEpeRcauo,oVjAPyX5ozs,3
PjTvhOYFgTk,2Gl0n4KEeh0,2
8_vdQtlEOmA,OI-VJhvT1eg,2
Wj3Bm0U_ytM,RCfONkq0h2k,2
MndyIzkrdY0,Nx4e9sifceI,2
Wvf4RJyZJcM,KIGXGkzjAoc,2
9nOBWxkBHXI,GWIAXuOtqNE,2
tfIrJ29Rjf0,mRrc8Yr7RDM,2
5L-HyLggRB8,8UAUDbWrVhA,2
CqqDu3wULDM,8rGnqPb775M,2
Gdy01EjU7vg,BnOvnQJ9prM,2
mJEC06nx7fs,c2V1APQtBrM,2
6yhGjFRzthw,IkSV2AiBQ9w,2
u36fuDxaMt0,AVvQHDz4mOc,2
MG0QwdZNlaE,I9q_vHHVeds,2
zxxx-Ucr3F0,RFb5h5oVf6A,2
kJYhdpDFHFY,5jxRNG4WqgM,2
Pm4gRYmT_Sc,9cURM3Ysj5o,2
XYzYFTzFz-U,cIQjKT0ROZw,2
NQzeoBuh_aA,v5rwo78SBC4,2
A20lGTUfGlc,Awymg9LwMs0,2
9LV5YJaNcWs,dT2rQkeeg74,2
xDvrQVG040g,i2UA0VG-wms,2
xu7GzwDzEh4,nq9Ev_oA9kI,2
fpwldAv1K_0,spe_51SOMas,2
tvyxmoBj9v0,vHT5sYOb5VE,2
vHT5sYOb5VE,ZscHPRqaiBI,2
aWvULNxlTSE,wCaFm0Jk5s4,2
7cpQSm8NNC8,6RigVHXeRBk,2
6RigVHXeRBk,zqbL06beH70,2
zqbL06beH70,zMK6YLx9iqk,2
zMK6YLx9iqk,6pfcHCwoMjg,2
6pfcHCwoMjg,jxbXgS9e9tc,2
jxbXgS9e9tc,gzJXYtHq7YM,2
gzJXYtHq7YM,KIGXGkzjAoc,2
KIGXGkzjAoc,s0y9RbQYP3s,2
s0y9RbQYP3s,drlJjfXfKYs,2
drlJjfXfKYs,KolvR8pVQWg,2
hkpzlPa9A_U,Tr-7KvPosyQ,2
Tr-7KvPosyQ,ykqIH2VxI88,2
h6qhoLjmJ58,co0H4W3Tj8w,2
co0H4W3Tj8w,eNPNWPQ5OCI,2
eNPNWPQ5OCI,b4TZzLiJsTQ,2
